start_time,end_time,predicted_class,predicted_class_str
2025-06-30 16:55:09.250650,2025-06-30 16:55:19.250550,3,sleep
2025-06-30 16:55:14.250600,2025-06-30 16:55:24.250500,3,sleep
2025-06-30 16:55:19.250550,2025-06-30 16:55:29.250450,3,sleep
2025-06-30 16:55:24.250500,2025-06-30 16:55:34.250400,3,sleep
2025-06-30 16:55:29.250450,2025-06-30 16:55:39.250350,3,sleep
2025-06-30 16:55:34.250400,2025-06-30 16:55:44.250300,3,sleep
2025-06-30 16:55:39.250350,2025-06-30 16:55:49.250250,3,sleep
2025-06-30 16:55:44.250300,2025-06-30 16:55:54.250200,3,sleep
2025-06-30 16:55:49.250250,2025-06-30 16:55:59.250150,3,sleep
2025-06-30 16:55:54.250200,2025-06-30 16:56:04.250100,3,sleep
2025-06-30 16:55:59.250150,2025-06-30 16:56:09.250050,3,sleep
2025-06-30 16:56:04.250100,2025-06-30 16:56:14.250000,3,sleep
2025-06-30 16:56:09.250050,2025-06-30 16:56:19.249950,3,sleep
2025-06-30 16:56:14.250000,2025-06-30 16:56:24.249900,3,sleep
2025-06-30 16:56:19.249950,2025-06-30 16:56:29.249850,3,sleep
2025-06-30 16:56:24.249900,2025-06-30 16:56:34.249800,3,sleep
2025-06-30 16:56:29.249850,2025-06-30 16:56:39.249750,3,sleep
2025-06-30 16:56:34.249800,2025-06-30 16:56:44.249700,3,sleep
2025-06-30 16:56:39.249750,2025-06-30 16:56:49.249650,3,sleep
2025-06-30 16:56:44.249700,2025-06-30 16:56:54.249600,3,sleep
2025-06-30 16:56:49.249650,2025-06-30 16:56:59.249550,3,sleep
2025-06-30 16:56:54.249600,2025-06-30 16:57:04.249500,3,sleep
2025-06-30 16:56:59.249550,2025-06-30 16:57:09.249450,3,sleep
2025-06-30 16:57:04.249500,2025-06-30 16:57:14.249400,3,sleep
2025-06-30 16:57:09.249450,2025-06-30 16:57:19.249350,3,sleep
2025-06-30 16:57:14.249400,2025-06-30 16:57:24.249300,3,sleep
2025-06-30 16:57:19.249350,2025-06-30 16:57:29.249250,3,sleep
2025-06-30 16:57:24.249300,2025-06-30 16:57:34.249200,3,sleep
2025-06-30 16:57:29.249250,2025-06-30 16:57:39.249150,3,sleep
2025-06-30 16:57:34.249200,2025-06-30 16:57:44.249100,3,sleep
2025-06-30 16:57:39.249150,2025-06-30 16:57:49.249050,3,sleep
2025-06-30 16:57:44.249100,2025-06-30 16:57:54.249000,3,sleep
2025-06-30 16:57:49.249050,2025-06-30 16:57:59.248950,3,sleep
2025-06-30 16:57:54.249000,2025-06-30 16:58:04.248900,3,sleep
2025-06-30 16:57:59.248950,2025-06-30 16:58:09.248850,3,sleep
